sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,amount_mismatch_assets,aligned
Transcending Horizons Private Limited,213,Transcending Horizons Private Limited,INV-0692,1,999,999,0,1,0,0,YES
Alpha Rites,227,Alpha Rites,INV-0702,3,6597,6597,0,3,0,0,YES
Allyventure (India) Private Limited,226,ALLYVENTURE (INDIA) PRIVATE LIMITED,INV-0701,4,7996,7996,0,4,0,0,YES
Youbooks Edtech India Pvt. Ltd.,233,Youbooks Edtech India Pvt. Ltd.,INV-0707,7,7894,7894,0,7,0,0,YES
ENCUBATE TECH PRIVATE LIMITED,229,ENCUBATE TECH PRIVATE LIMITED,INV-0703,2,5198,5198,0,2,0,0,YES
JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,241,JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,INV-0710,3,3300,3300,0,3,0,0,YES
Scoopalicious (OPC) Private limited,240,Scoopalicious (OPC) Private limited,INV-0709,1,5999,5999,0,1,0,0,YES
ZENITHIA GARDEN OF JOY PRIVATE LIMITED,243,ZENITHIA GARDEN OF JOY PRIVATE LIMITED,INV-0712,1,1399,1399,0,1,0,0,YES
Talent Skillsvarsity Private Limited,247,Talent Skillsvarsity Private Limited,INV-0714,2,2034,2034,0,2,0,0,YES
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,INV-0715,11,13189,13189,0,10,1,0,NO
Girish Srikrishna Paranjpe,252,Girish Srikrishna Paranjpe,INV-0716,7,21524,21524,0,7,0,0,YES
PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,260,PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,INV-0721,13,17537,17537,0,13,0,0,YES
AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,255,Amar Amba Finance Hire Purchase Private Limited,INV-0717,10,12692,12692,0,10,0,0,YES
SOM PRO FACILITIES INDIA PRIVATE LIMITED,258,SOM PRO FACILITIES INDIA PRIVATE LIMITED,INV-0719,5,6745,6745,0,5,0,0,YES
LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,913,LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,INV-0731,2,4798,4798,0,2,0,0,YES
CIPHERBEAT LLP,259,CIPHERBEAT LLP,INV-0720,1,1699,1699,0,1,0,0,YES
Khushi Housing Solutions Private Limited,263,Khushi Housing Solutions Private Limited,INV-0723,1,8999,8999,0,1,0,0,YES
MAX LT TECHNOLOGIES LLP,921,Max LT Technologies,INV-0732,1,1999,1999,0,1,0,0,YES
4 PROSPER TECHNOLOGIES PRIVATE LIMITED,265,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,INV-0724,23,33397,33397,0,23,0,0,YES
SAAN GLOBAL LIMITED,271,SAAN GLOBAL LIMITED,INV-0726,8,23379.04,23379.04,0,8,0,0,YES
United precision Cast,273,United precision Cast,INV-0727,1,1700,1700,0,1,0,0,YES
Vaatun Technologies Private Limited,274,Vaatun Technologies Private Limited,INV-0728,1,3500,3500,0,1,0,0,YES
scaleglobal,280,scaleglobal,INV-0729,6,13625.81,13625.81,0,6,0,0,YES
ANTINO LABS PRIVATE LIMITED,120,ANTINO LABS PRIVATE LIMITED,INV-0637,65,125367.61,125367.61,0,65,0,0,YES
