serial_id,ttspl_id,serial_number,customer_id,customer_name,desired_rent_start,desired_rate,sheet_rent,crm_amount,amt_delta,current_status,current_customer,current_rent_start,current_rate,issues
7108,TTSPL4608,G45G8G3,11,Digital Eco Innovision Private Limited,2026-08-01,2999,2999,2999,0,in_stock,,,,status=in_stock|customer null->11|ttspl_null|ttspl_set|rent_start_null|rate null->2999
7450,TTSPL4954,PC164BHY,11,Digital Eco Innovision Private Limited,2026-08-01,2890,2890,2890,0,in_stock,,,,status=in_stock|customer null->11|ttspl_null|ttspl_set|rent_start_null|rate null->2890
7662,TTSPL5166,PG02SKB5,11,Digital Eco Innovision Private Limited,2026-08-01,2490,2490,2490,0,in_stock,,,,status=in_stock|customer null->11|ttspl_null|ttspl_set|rent_start_null|rate null->2490
7534,TTSPL5038,PC1GXG2P,11,Digital Eco Innovision Private Limited,2026-08-01,1690,1690,1690,0,in_stock,,,,status=in_stock|customer null->11|ttspl_null|ttspl_set|rent_start_null|rate null->1690
7731,TTSPL5414,5CD1321WJH,11,Digital Eco Innovision Private Limited,2026-07-29,2499,2740.84,2821.45,-80.61,in_stock,,,,status=in_stock|customer null->11|ttspl_null|ttspl_set|rent_start_null|rate null->2499
252,TTSPL6884,5CG3101NNS,48,Pibit Technologies Private Limited,2026-08-01,3174,3174,0,3174,rented,48,,3174.00,rent_start_null
2286,TTSPL3404,77FY8Y2,48,Pibit Technologies Private Limited,2026-08-01,3174,3174,0,3174,rented,48,,3174.00,rent_start_null
3213,TTSPL4352,HF5V2Y90CN,48,Pibit Technologies Private Limited,2026-08-01,6474,6474,0,6474,rented,48,,6474.00,rent_start_null
1024,TTSPL4892,MH4LP233GM,48,Pibit Technologies Private Limited,2026-08-01,9474,9474,0,9474,rented,48,,9474.00,rent_start_null
577,TTSPL6024,PG02RECR,48,Pibit Technologies Private Limited,2026-08-01,2374,2374,0,2374,rented,48,,2374.00,rent_start_null
2865,TTSPL6408,PG02JQ5M,48,Pibit Technologies Private Limited,2026-08-01,2374,2374,0,2374,rented,48,,2374.00,rent_start_null
2867,TTSPL6412,PG02HY9G,48,Pibit Technologies Private Limited,2026-08-01,2374,2374,0,2374,rented,48,,2374.00,rent_start_null
3946,TTSPL7287,2TK2460CY4,48,Pibit Technologies Private Limited,2026-08-01,3175,3175,1699,1476,rented,26,2026-06-22,1699.00,customer 26->48|rate 1699.00->3175
8193,TTSPL7429,2MQ448107S,48,Pibit Technologies Private Limited,2026-07-21,4200,5690.32,0,5690.32,rented,48,2026-07-21,4200.00,AMOUNT_DIFF_ONLY
8191,TTSPL7427,2MQ449129N,48,Pibit Technologies Private Limited,2026-07-21,4200,5690.32,0,5690.32,rented,48,2026-07-21,4200.00,AMOUNT_DIFF_ONLY
8262,TTSPL7494,2MQ44808GV,48,Pibit Technologies Private Limited,2026-07-21,4200,5690.32,0,5690.32,rented,48,2026-07-21,4200.00,AMOUNT_DIFF_ONLY
8190,TTSPL7426,2MQ4480QQK,48,Pibit Technologies Private Limited,2026-07-21,4200,5690.32,0,5690.32,rented,48,2026-07-21,4200.00,AMOUNT_DIFF_ONLY
8733,TTSPL7566,GNPMGW3,48,Pibit Technologies Private Limited,2026-08-02,3900,3774.19,0,3774.19,rented,48,2026-08-02,3900.00,AMOUNT_DIFF_ONLY
8734,TTSPL7567,5R28GY3,48,Pibit Technologies Private Limited,2026-08-02,3900,3774.19,0,3774.19,rented,48,2026-08-02,3900.00,AMOUNT_DIFF_ONLY
8739,TTSPL7572,2MQ44802MC,48,Pibit Technologies Private Limited,2026-08-02,4200,4064.52,0,4064.52,rented,48,2026-08-02,4200.00,AMOUNT_DIFF_ONLY
3852,TTSPL7193,R913GZ8K,47,BPB Online LLP,2026-08-01,1799,1799,3249.81,-1450.81,rented,47,2026-07-07,1799.00,AMOUNT_DIFF_ONLY
3832,TTSPL7173,R913GZEB,47,BPB Online LLP,2026-08-01,1799,1799,3249.81,-1450.81,rented,47,2026-07-07,1799.00,AMOUNT_DIFF_ONLY
3849,TTSPL7190,R913GZ7R,47,BPB Online LLP,2026-07-01,1799,3598,1799,1799,rented,47,2026-07-01,1799.00,AMOUNT_DIFF_ONLY
3812,TTSPL7153,R913GZEX,47,BPB Online LLP,2026-07-01,1799,3598,1799,1799,rented,47,2026-07-01,1799.00,AMOUNT_DIFF_ONLY
7758,TTSPL5441,5G7QJW2,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1299,1299,1299,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1299
7761,TTSPL5444,9G94103,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1299,1299,1299,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1299
956,TTSPL5476/5447,9WZRWZ2,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1299,1299,0,1299,rented,117,2026-02-06,1299.00,ttspl_set
