customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
Global Fashion Off Duty Limited,Global Fashion Off Duty Limited,156,INV-0938,22,22,0,YES,53192.68,53192.68,0,YES,2,1509.68,2,22,0,0,,,YES
GODASH SOLUTIONS PRIVATE LIMITED,GODASH SOLUTIONS PRIVATE LIMITED,100,INV-0888,10,10,0,YES,18531.32,18531.32,0,YES,1,1041.32,1,10,0,0,,,YES
GOOLEAN TECHNOLOGIES PRIVATE761976109 LIMITED,Goolean Technologies Pvt Ltd,220,INV-0843,7,7,0,YES,15704.32,15704.32,0,YES,2,709.32,2,7,0,0,,,YES
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,INV-0835,28,28,0,YES,56797.16,56797.16,0,YES,2,1225.16,2,28,0,0,,,YES
GRUNMECH TECHNOLOGIES PRIVATE LIMITED,GRUNMECH TECHNOLOGIES PRIVATE LIMITED,23,INV-0928,13,13,0,YES,35087,35087,0,YES,0,0,0,13,0,0,,,YES
Hostbooks limited,Hostbooks limited,168,INV-0847,24,24,0,YES,52376,52376,0,YES,0,0,0,24,0,0,,,YES
IIOT INNOVATION PRIVATE LIMITED,IIOT INNOVATION Private Limited,214,INV-0791,12,11,1,NO,23278.68,22117.97,1160.71,NO,1,128.97,2,11,1,0,TTSPL3083,,NO
IMSUCCESS PRIVATE LIMITED,IMSUCCESS PRIVATE LIMITED,50,INV-0855,4,5,-1,NO,22449,27949,-5500,NO,0,0,0,4,0,1,,TTSPL1467,NO
IN KNOW TECH PRIVATE LIMITED,IN KNOW TECH PRIVATE LIMITED,960,INV-0823,1,1,0,YES,2500,2500,0,YES,0,0,0,1,0,0,,,YES
Inaya Reality,Inaya Reality,,,3,0,3,NO,5397,0,5397,NO,0,0,0,0,3,0,TTSPL2975|TTSPL2877|TTSPL6241,,NO
Indicold pvt ltd.,Indicold pvt ltd.,,,8,0,8,NO,17829,0,17829,NO,0,0,0,0,8,0,TTSPL1931|TTSPL1768|TTSPL1047|TTSPL2828|TTSPL2651|TTSPL2855|TTSPL2797|TTSPL4901,,NO
INFISWIFT TECHNOLOGIES PRIVATE LIMITED,INFISWIFT TECHNOLOGIES PRIVATE LIMITED,197,INV-0768,1,1,0,YES,3099,3099,0,YES,0,0,0,1,0,0,,,YES
INNOVA ESI PRIVATE LIMITED,INNOVA ESI PRIVATE LIMITED,74,,1,0,1,NO,1,0,1,YES,0,0,1,0,1,0,TTSPL7448,,NO
ISCREENING SERVICES PRIVATE LIMITED,ISCREENING SERVICES PRIVATE LIMITED,35,INV-0836,6,6,0,YES,5994,5994,0,YES,0,0,0,6,0,0,,,YES
JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,241,INV-0853,3,3,0,YES,3300,3300,0,YES,0,0,0,3,0,0,,,YES
Khelo Tech and Strategy Pvt Ltd,Khelo Tech and Strategy Pvt Ltd,969,INV-0916,8,8,0,YES,19192,19192,0,YES,0,0,0,8,0,0,,,YES
Khushi Housing Solutions Private Limited,Khushi Housing Solutions Private Limited,263,INV-0764,1,1,0,YES,8999,8999,0,YES,0,0,0,1,0,0,,,YES
KULSYS TECHNOLOGIES PRIVATE LIMITED,KULSYS TECHNOLOGIES PRIVATE LIMITED,36,INV-0854,8,8,0,YES,30005.68,30005.68,0,YES,1,2709.68,1,8,0,0,,,YES
KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,51,INV-0746,1,1,0,YES,1249,1249,0,YES,0,0,0,1,0,0,,,YES
LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,913,INV-0820,2,2,0,YES,4798,4798,0,YES,0,0,0,2,0,0,,,YES
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,INV-0762,93,92,1,NO,355663,350814,4849,NO,0,0,0,92,1,0,TTSPL4425,,NO
