sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,crm_invoice_unique_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,crm_not_on_sheet,amount_mismatch_assets,aligned
Viralcurry Digital Private Limited,17,VIRALCURRY DIGITAL PRIVATE LIMITED,INV-0254,8,8,11206.45,11206.45,0,6,2,2,0,NO
Saajha,14,Saajha,INV-0298,6,6,11658,11658,0,4,2,2,0,NO
BLUEJAY WORKTECH PRIVATE LIMITED,117,BLUEJAY WORKTECH PRIVATE LIMITED,INV-0223,24,24,36078,36078,0,23,1,1,0,NO
IMSUCCESS PRIVATE LIMITED,50,IMSUCCESS PRIVATE LIMITED,INV-0296,5,5,27949,27949,0,4,1,1,0,NO
VINCIT TECHNOLOGIES PVT LTD,112,VINCIT TECHNOLOGIES PVT LTD,INV-0203,2,2,3498,3498,0,1,1,1,0,NO
COSMO BRANDS PRIVATE LIMITED,118,COSMO BRANDS PRIVATE LIMITED,INV-0302,11,11,14026,14026,0,9,2,2,0,NO
Pas Digital Pvt Ltd,62,Pas Digital Pvt Ltd,INV-0311,14,14,28809,28809,0,13,1,1,0,NO
Dawnsun Exim Corporation,126,DAWNSUN EXIM CORPORATION,INV-0314,9,9,17977,17977,0,8,1,1,0,NO
Aamore Solutions,125,Aamore solutions,INV-0228,6,6,8700,8700,0,2,4,4,0,NO
Bench Kart Services Pvt Ltd,129,Benchkart Services Private Limited,INV-0365,10,10,14031,14031,0,8,2,2,0,NO
MANNA BIOTECH PRIVATE LIMITED,38,MANNA BIOTECH PRIVATE LIMITED,INV-0331,2,2,3217,3217,0,1,1,1,0,NO
Inaya Reality,34,Inaya Realty,INV-0271,4,4,6396,6396,0,3,1,1,0,NO
COAL BEAUTY PRIVATE LIMITED,145,COAL BEAUTY PRIVATE LIMITED,INV-0362,9,9,10791,10791,0,5,4,4,0,NO
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,INV-0257,11,11,13189,13189,0,10,1,1,0,NO
