#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
158,TTSPL4335,PF2R31HR,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-001802,RDC000913,2026-05-01,DC-003856,35000.00
159,TTSPL4339,PF2R1GES,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-001803,RDC000912,2026-05-01,DC-003856,35000.00
160,TTSPL4854,JWCYZH3,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-001880,RDC000915,2026-05-01,DC-003856,35000.00
161,TTSPL5798,CM75HK3,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-001938,RDC000914,2026-05-01,DC-003856,35000.00
162,TTSPL3130,10Z2M13,BM Computers,2026-04-16,DC-003705,,2026-04-29,DC-003748,15288.00
163,TTSPL5025,3L8R1Z2,DEEPAK SINGH,2026-02-06,DC-001582,RDC000730,2026-04-27,DC-003745,19500.00
164,TTSPL3248,HD45YY2,BM Computers,2026-02-06,DC-001382,RDC000748,2026-04-23,DC-003733,15085.00
165,TTSPL2215,5CG5391P12,BM Computers,2026-02-06,DC-000126,RDC000750,2026-04-23,DC-003726,8475.00
166,TTSPL5039,PC1DFHDH,BM Computers,2026-02-06,DC-001578,RDC000729,2026-04-22,DC-003711,15288.00
167,TTSPL5461,PF353YQD,BM Computers,2026-02-06,DC-001770,"RDC000617, RDC000948",2026-04-17,DC/26-27/0505,20762.00
168,TTSPL1479,F51RF12,BM Computers,2026-02-06,DC-000865,"RDC000714, RDC001611",2026-04-17,DC-003656,8474.00
169,TTSPL1922,CNU429BK2D,BM Computers,2026-02-06,DC-000863,RDC000713,2026-04-17,DC-003654,8474.00
170,TTSPL5165,PF3DD9X5,BM Computers,2026-02-21,DC-003025,"RDC000361, RDC000711, RDC001135",2026-04-17,DC/26-27/0436,20763.00
171,TTSPL4710,PF31M1Z4,BM Computers,2026-03-06,DC-003218,"RDC000710, RDC000946",2026-04-14,DC-003682,21610.00
172,TTSPL4721,PF367Z1N,BM Computers,2026-02-06,DC-002155,"RDC000693, RDC000947, RDC001150",2026-04-14,DC-003682,21610.00
173,TTSPL5595,PG02S21K,BM Computers,2026-02-06,DC-000310,"RDC000226, RDC000712, RDC000940",2026-04-14,DC/26-27/0446,20763.00
174,TTSPL5599,PF3C5LY0,BM Computers,2026-02-06,DC-002534,"RDC000335, RDC000825",2026-04-14,DC/26-27/0770,19491.00
175,TTSPL3915,3Q4KZM2,A S Computer Services PVTLTD,2026-02-06,DC-001711,RDC000698,2026-04-14,DC-003641,11017.00
176,TTSPL5597,PG02S21P,BM Computers,2026-03-06,DC-003149,RDC000651,2026-04-14,DC-003635,19492.00
177,TTSPL5616,PF33CCND,BM Computers,2026-02-06,DC-002080,RDC000539,2026-04-14,DC-003635,19492.00
178,TTSPL6029,PG0343EF,BM Computers,2026-02-26,DC-003124,"RDC000365, RDC000938",2026-04-14,DC/26-27/0438,20763.00
179,TTSPL6410,PG02HV48,BM Computers,2026-02-06,DC-000522,"RDC000444, RDC000936",2026-04-14,DC/26-27/0437,20763.00
180,TTSPL4213,JS3R2F2,BM Computers,2026-02-06,DC-001334,"RDC000636, RDC000932",2026-04-14,DC/26-27/0370,14830.00
181,TTSPL4537,88MJZH3,BM Computers,2026-02-06,DC-002178,"RDC000550, RDC000934",2026-04-14,DC/26-27/0370,10593.00
182,TTSPL2682,5CG9237RBJ,M/S Tanmay Infotech,2026-02-06,DC-000612,RDC000228,2026-04-14,DC-003613,13983.00
183,TTSPL2670,PC0GAJDD,BM Computers,2026-02-06,DC-001346,RDC000654,2026-04-07,DC-003551,13593.00
184,TTSPL1992,8FQ2H12,BM Computers,2026-02-06,DC-001152,RDC000281,2026-04-07,DC-003545,8475.00
185,TTSPL5606,PG02S34B,B M TECHNOLOGIES,2026-02-06,DC-002405,"RDC000596, RDC001282",2026-04-07,DC/26-27/0582,18220.00
186,TTSPL1616,3TH7KC2,BM Computers,2026-02-06,DC-000651,RDC000565,2026-04-07,DC-003527,13593.00
187,TTSPL1786,5CG70100YT,MyScoot,2026-02-06,DC-000825,RDC000678,2026-04-07,DC-003568,3604.00
188,TTSPL3886,2X1D0N2,A S Computer Services PVTLTD,2026-02-06,DC-002852,RDC000635,2026-04-04,DC-003524,11017.00
189,TTSPL5065,PC1GXFKM,PARTS AVATAR INDIA PRIVATE LIMITED,2026-02-06,DC-000752,RDC000623,2026-04-01,DC-003502,25000.00
190,TTSPL1107,94HGF72,RIZWAN KHAN,2026-02-06,DC-001588,RDC000459,2026-03-31,DC-003413,8898.00
191,TTSPL1622,75S5T72,RIZWAN KHAN,2026-03-16,DC-003346,RDC000554,2026-03-31,DC-003413,8898.00
