issue_type,why_category,why_detail,serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,rent_billed_until,dispatch_mode,current_dc_number,serial_dispatched_at_ist,serial_delivered_at_ist,matched_dc_number,matched_dc_status,matched_dc_dispatched_at_ist,matched_dc_delivered_at_ist,sales_order_number,is_replaced,action_remark,came_from,suggested_rent_start,billing_impact,updated_at
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2450,TTSPL6594,TTSPL6594,8TWDQ13,20,Research Nester Private Limited,rented,Dell,Dell Latitude 5400,899.00,,,,,,,DC-001400,delivered,,2026-02-06,SO-001400,0,This product Pickuped from customer,20,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2208,TTSPL5851,TTSPL5851,MQD4RXJNYQ,39,SARTHHAKAI PRIVATE LIMITED,rented,Dell,Apple Macbook Pro,8999.00,,,,,,,DC-002219,delivered,,2026-02-06,SO-002219,0,This product Pickuped from customer,39,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,99,TTSPL5440,TTSPL5440,3GQYVZ2,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,rented,Dell,Dell Latitude 3400,999.00,,,,,,,DC/26-27/0766,delivered,,2026-06-24,SO/26-27/0765,0,This product Rejected from customer,178,2026-06-24,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,3275,TTSPL5179,TTSPL5179,PG02SKBN,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,Dell,Lenovo Thinkpad E14 (Gen 2),1999.00,,,,,,,DC-003782,delivered,,2026-04-25,SO-003887,0,This product Pickuped from customer,41,2026-04-25,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null|no_delivery_challan_matched,3135,TTSPL3222,TTSPL3222,9640N13,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 7400 (Touch Screen),1550.00,,,,,,2026-07-18,,,,,,0,This product Rejected from customer,204,2026-07-18,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:15 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null|no_delivery_challan_matched,1283,TTSPL3447,TTSPL3447,90V1F63,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 5310,1550.00,,,,,,2026-07-18,,,,,,0,This product Pickuped from customer,110,2026-07-18,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:14 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null|no_delivery_challan_matched,1286,TTSPL3999,TTSPL3999,56SJ573,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 5410,1550.00,,,,,,2026-07-18,,,,,,0,This product Pickuped from customer,110,2026-07-18,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:14 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,185,TTSPL5288,TTSPL5288,PF2QZLXD,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Lenovo Thinkpad T14,1900.00,,,,,,2026-07-18,DC-003574,delivered,,2026-04-07,SO-003658,0,This product Pickuped from customer,258,2026-04-07,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:13 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2978,TTSPL1184,TTSPL1184,5CG45131M6,42,SUKHMAA SONS AND ASSOCIATES,rented,Dell,HP Elitebook 840 G1,999.00,,,,,,,DC/26-27/0520,delivered,,2026-06-01,SO/26-27/0496,0,This product Pickuped from customer,42,2026-06-01,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,3757,TTSPL6063,TTSPL6063,5YZBRG3,107,SelectAstro Private Limited,rented,Dell,Dell Latitude 3420,1899.00,,,,,,,,,,,,0,This product Pickuped from customer,110,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2545,TTSPL6312,TTSPL6312,C6PXVM3,1,Tagbin Services Pvt Ltd,rented,Dell,Dell Latitude 5420,2899.00,,,,,,,DC-003377,delivered,,2026-03-23,SO-003437,0,This product Pickuped from customer,1,2026-03-23,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,850,TTSPL3537,TTSPL3537,PC1M8NXD,163,Truetech Services Pvt. Ltd.,rented,Dell,Lenovo Thinkpad X-13,1.00,,,,,,,DC-003101,delivered,,2026-02-25,SO-003132,0,This product Pickuped from customer,163,2026-02-25,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,6729,TTSPL4227,TTSPL4227,CN01P49RDES0059F91VNA01,163,Truetech Services Pvt. Ltd.,rented,,,1.00,,,,,,,,,,,,false,,,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
