serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,rent_start_date,rental_start_date_legacy,rent_end_date,rent_billed_until,rent_monthly_rate,brand,model,current_dc_number,dispatched_at_ist,delivered_at_ist,returned_at_ist,is_replaced,is_repaired,action_status,action_remark,came_from,issue_type,why,billing_impact,updated_at
94,TTSPL5037,TTSPL5037,PC1FBACQ,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,,,,,1100.00,Dell,Lenovo Thinkpad T490s,,,,,0,0,pickuped,This product Pickuped from customer,66,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2450,TTSPL6594,TTSPL6594,8TWDQ13,20,Research Nester Private Limited,rented,,2027-02-07,,,899.00,Dell,Dell Latitude 5400,,,,,0,0,pickuped,This product Pickuped from customer,20,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2208,TTSPL5851,TTSPL5851,MQD4RXJNYQ,39,SARTHHAKAI PRIVATE LIMITED,rented,,2027-02-07,,,8999.00,Dell,Apple Macbook Pro,,,,,0,0,pickuped,This product Pickuped from customer,39,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
99,TTSPL5440,TTSPL5440,3GQYVZ2,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,rented,,,,,999.00,Dell,Dell Latitude 3400,,,,,0,0,rejected,This product Rejected from customer,178,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3275,TTSPL5179,TTSPL5179,PG02SKBN,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,,2027-02-07,,,1999.00,Dell,Lenovo Thinkpad E14 (Gen 2),,,,,0,0,pickuped,This product Pickuped from customer,41,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3135,TTSPL3222,TTSPL3222,9640N13,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,,2027-02-07,,,1550.00,Dell,Dell Latitude 7400 (Touch Screen),,,2026-07-18,,0,0,rejected,This product Rejected from customer,204,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:15.733253+00
1283,TTSPL3447,TTSPL3447,90V1F63,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,,,,,1550.00,Dell,Dell Latitude 5310,,,2026-07-18,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:14.800164+00
1286,TTSPL3999,TTSPL3999,56SJ573,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,,,,,1550.00,Dell,Dell Latitude 5410,,,2026-07-18,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:14.82044+00
185,TTSPL5288,TTSPL5288,PF2QZLXD,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,,,,,1900.00,Dell,Lenovo Thinkpad T14,,,2026-07-18,,0,0,pickuped,This product Pickuped from customer,258,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:13.404376+00
2978,TTSPL1184,TTSPL1184,5CG45131M6,42,SUKHMAA SONS AND ASSOCIATES,rented,,2027-02-07,,,999.00,Dell,HP Elitebook 840 G1,,,,,0,0,pickuped,This product Pickuped from customer,42,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3757,TTSPL6063,TTSPL6063,5YZBRG3,107,SelectAstro Private Limited,rented,,2026-04-27,,,1899.00,Dell,Dell Latitude 3420,,,,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2545,TTSPL6312,TTSPL6312,C6PXVM3,1,Tagbin Services Pvt Ltd,rented,,2027-02-07,,,2899.00,Dell,Dell Latitude 5420,,,,,0,0,pickuped,This product Pickuped from customer,1,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
850,TTSPL3537,TTSPL3537,PC1M8NXD,163,Truetech Services Pvt. Ltd.,rented,,,,,1.00,Dell,Lenovo Thinkpad X-13,,,,,0,0,pickuped,This product Pickuped from customer,163,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
6729,TTSPL4227,TTSPL4227,CN01P49RDES0059F91VNA01,163,Truetech Services Pvt. Ltd.,rented,,,,,1.00,,,,,,,,,,,,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1780,TTSPL5169,TTSPL5169,PF3D1WZ0,93,WICK AUTOMATION LLP,rented,,,,,1599.00,Dell,Lenovo Thinkpad E14 (Gen 2),,,,,0,0,pickuped,This product Pickuped from customer,93,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
