issue_type,serial_id,ttspl_id,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,serial_delivered_at_ist,matched_dc_number,matched_dc_delivered_at_ist,best_delivery_date,days_rent_start_minus_delivery,suggested_rent_start,why,billing_impact,current_dc_number
RENT_START_NULL,99,TTSPL5440,3GQYVZ2,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,rented,Dell,Dell Latitude 3400,999.00,,,DC/26-27/0766,2026-06-24,2026-06-24,,2026-06-24,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3275,TTSPL5179,PG02SKBN,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,Dell,Lenovo Thinkpad E14 (Gen 2),1999.00,,,DC-003782,2026-04-25,2026-04-25,,2026-04-25,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3135,TTSPL3222,9640N13,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 7400 (Touch Screen),1550.00,,2026-07-18,,,2026-07-18,,2026-07-18,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1283,TTSPL3447,90V1F63,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 5310,1550.00,,2026-07-18,,,2026-07-18,,2026-07-18,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1286,TTSPL3999,56SJ573,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Dell Latitude 5410,1550.00,,2026-07-18,,,2026-07-18,,2026-07-18,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,185,TTSPL5288,PF2QZLXD,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,Dell,Lenovo Thinkpad T14,1900.00,,2026-07-18,DC-003574,2026-04-07,2026-04-07,,2026-04-07,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2978,TTSPL1184,5CG45131M6,42,SUKHMAA SONS AND ASSOCIATES,rented,Dell,HP Elitebook 840 G1,999.00,,,DC/26-27/0520,2026-06-01,2026-06-01,,2026-06-01,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3757,TTSPL6063,5YZBRG3,107,SelectAstro Private Limited,rented,Dell,Dell Latitude 3420,1899.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2545,TTSPL6312,C6PXVM3,1,Tagbin Services Pvt Ltd,rented,Dell,Dell Latitude 5420,2899.00,,,DC-003377,2026-03-23,2026-03-23,,2026-03-23,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,850,TTSPL3537,PC1M8NXD,163,Truetech Services Pvt. Ltd.,rented,Dell,Lenovo Thinkpad X-13,1.00,,,DC-003101,2026-02-25,2026-02-25,,2026-02-25,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,6729,TTSPL4227,CN01P49RDES0059F91VNA01,163,Truetech Services Pvt. Ltd.,rented,,,1.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1780,TTSPL5169,PF3D1WZ0,93,WICK AUTOMATION LLP,rented,Dell,Lenovo Thinkpad E14 (Gen 2),1599.00,,,DC-002350,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_VS_DELIVERY_MISMATCH,914,TTSPL6824,5CG2133K2N,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,Dell,HP Elitebook 840 G8,1999.00,2026-04-29,2026-04-29,DC-003813,2025-09-22,2025-09-22,219,2025-09-22,rent_start_differs_from_dc_delivered_at|dc_delivered_and_serial_delivered_disagree,CRM bills from later date (2026-04-29); underbills 219 day(s) vs delivery 2025-09-22,DC-003813
RENT_START_VS_DELIVERY_MISMATCH,443,TTSPL3172,FVFG6CSRQ05D,106,RHOPHI ANALYTICS LLP (Punjab),rented,Dell,Apple Macbook Pro,4500.00,2026-08-01,,DC-000625,2026-02-06,2026-02-06,176,2026-02-06,rent_start_differs_from_dc_delivered_at,CRM bills from later date (2026-08-01); underbills 176 day(s) vs delivery 2026-02-06,
RENT_START_VS_DELIVERY_MISMATCH,637,G-COTRUE1056,3WST812,966,Leverage Edu,rented,Dell,Dell Laptop Latitude E3340,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000886
RENT_START_VS_DELIVERY_MISMATCH,629,YASHTRUE1445,CNBLVD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000878
RENT_START_VS_DELIVERY_MISMATCH,636,TRU115,2XQN542,966,Leverage Edu,rented,Dell,Dell Latitude E7250,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000885
RENT_START_VS_DELIVERY_MISMATCH,633,FIRMTRUE1569,4BZ8CG2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000882
RENT_START_VS_DELIVERY_MISMATCH,635,TTSPL1979,5CG5151654,966,Leverage Edu,rented,Dell,HP Elitebook 840 G1,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000884
RENT_START_VS_DELIVERY_MISMATCH,639,TTSPL1982,FH8K542,966,Leverage Edu,rented,Dell,Dell Latitude E7240,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000888
RENT_START_VS_DELIVERY_MISMATCH,628,YASHTRUE1417,23F7VD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000877
RENT_START_VS_DELIVERY_MISMATCH,634,TTSPL1865,76D7VD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000883
RENT_START_VS_DELIVERY_MISMATCH,642,TTSPL2918,1K96QH2,966,Leverage Edu,rented,Dell,Dell Latitude 7480,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000891
RENT_START_VS_DELIVERY_MISMATCH,630,YASHTRUE1464,566PFH2,966,Leverage Edu,rented,Dell,Dell Latitude E5480,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000879
RENT_START_VS_DELIVERY_MISMATCH,631,YASHTRUE1482,7PMTNH2,966,Leverage Edu,rented,Dell,Dell Latitude E5480,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000880
RENT_START_VS_DELIVERY_MISMATCH,627,1472,PC0151G3,966,Leverage Edu,rented,Dell,Lenovo Laptop Thinkpad T440,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000876
RENT_START_VS_DELIVERY_MISMATCH,638,RABYTRUE1538,6LPWH82,966,Leverage Edu,rented,Dell,Dell Latitude E7440,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000887
RENT_START_VS_DELIVERY_MISMATCH,640,YASHTRUE1444,JH6YVD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,2026-07-18,-162,2026-07-18,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,DC-000889
RENT_START_VS_DELIVERY_MISMATCH,2183,TTSPL2016,CJNL7S2,112,VINCIT TECHNOLOGIES PVT LTD,rented,Dell,Dell Latitude 5490,1499.00,2026-02-06,2026-07-17,DC-001720,2026-07-17,2026-07-17,-161,2026-07-17,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 161 day(s) vs delivery 2026-07-17,DC-001720
RENT_START_VS_DELIVERY_MISMATCH,1598,TTSPL3263,4WQVZY2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 7400 (Touch Screen),1399.00,2026-02-06,2026-07-01,DC-002141,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002141
RENT_START_VS_DELIVERY_MISMATCH,1609,TTSPL3454,4RGF0B3,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 5310 (TOUCH SCREEN),1399.00,2026-02-06,2026-07-01,DC-002154,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002154
RENT_START_VS_DELIVERY_MISMATCH,1604,TTSPL5029,1BD5NV2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 5490,1399.00,2026-02-06,2026-07-01,DC-002147,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002147
RENT_START_VS_DELIVERY_MISMATCH,1605,TTSPL3895,DR2QHR2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 7490,1399.00,2026-02-06,2026-07-01,DC-002149,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002149
RENT_START_VS_DELIVERY_MISMATCH,2202,TTSPL3934,DJG5HR2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 7490,1399.00,2026-02-06,2026-07-01,DC-002150,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002150
RENT_START_VS_DELIVERY_MISMATCH,1602,TTSPL3509,D1B3PV2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 7490,1399.00,2026-02-06,2026-07-01,DC-002145,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002145
RENT_START_VS_DELIVERY_MISMATCH,2201,TTSPL2133,7GQXMF2,79,PPG ASIAN PAINTS PRIVATE LIMITED,rented,Dell,Dell Latitude 5490,1399.00,2026-02-06,2026-07-01,DC-002148,2026-07-01,2026-07-01,-145,2026-07-01,rent_start_differs_from_dc_delivered_at|rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 145 day(s) vs delivery 2026-07-01,DC-002148
