customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
SHINENPRIME HEALTHCARE PRIVATE LIMITED,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,19,19,21952.76,name,19785,18,1,2,17,1,YES,0
SUKHMAA SONS AND ASSOCIATES,42,SUKHMAA SONS AND ASSOCIATES,18,18,21842.32,name,21636,18,0,0,18,0,YES,0
Road Express Technology Pvt. Ltd.,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,20,20,21599,name,21599,20,0,0,20,0,YES,0
Girish Srikrishna Paranjpe,252,Girish Srikrishna Paranjpe,7,7,21524,name,18299,7,0,0,7,0,YES,0
PPG Asian Paint,79,PPG ASIAN PAINTS PRIVATE LIMITED,15,16,21210.65,name,22384,15,1,0,15,0,NO,1
Shreyas Management Consulting Services,76,Shreyas Management Consulting Services,13,12,21188,name,21188,12,0,1,12,0,NO,-1
QUICKREPLY TECHNOLOGIES INDIA PVT. LTD.,153,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,11,11,20858.71,name,20791,11,0,0,11,0,YES,0
Khelo Tech and Strategy Pvt Ltd,969,Khelo Tech and Strategy Pvt Ltd,8,8,19192,name,19192,8,0,0,8,0,YES,0
GODASH SOLUTIONS PRIVATE LIMITED,100,GODASH SOLUTIONS PRIVATE LIMITED,10,10,18531.32,name,17490,10,0,0,10,0,YES,0
The Class One/ Inventify Edtech solution Pvt. Ltd,230,The Class One/ Inventify Edtech solution Pvt. Ltd,14,14,18380.64,name,15400,14,0,0,14,0,YES,0
E N COMMUNICATION PRIVATE LIMITED,104,E N COMMUNICATION PRIVATE LIMITED,10,10,17990,name,17990,10,0,0,10,0,YES,0
(BLANK CLIENT),,NOT_FOUND_IN_CRM,0,1,17990,unmatched,0,0,1,0,0,0,NO,1
PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,260,PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,13,13,17537,name,17537,13,0,0,13,0,YES,0
Technians Softech Pvt.Ltd,219,Technians Softech Pvt.Ltd,6,6,17237.31,name,13194,6,0,0,6,0,YES,0
SINGULARITY GAMES PRIVATE LIMITED,216,SINGULARITY GAMES PRIVATE LIMITED,4,4,16944.13,name,15396,4,0,0,4,0,YES,0
BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,199,BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,4,4,16696,name,16696,4,0,0,4,0,YES,0
Sturmfrei Hospitality Pvt. Ltd,281,Sturmfrei Hospitality Pvt. Ltd,5,5,16495,name,16495,5,0,0,5,0,YES,0
Goolean Technologies Pvt Ltd,220,GOOLEAN TECHNOLOGIES PRIVATE761976109 LIMITED,7,8,16284.67,name,16994,8,0,0,7,1,NO,1
TripHunter In,69,Trip Hunter,9,9,16191,name,16191,9,0,0,9,0,YES,0
Aksum Trademart Pvt Ltd,135,AKSUM TRADEMART PRIVATE LIMITED,8,8,16173.42,name,13596,8,0,0,8,0,YES,0
VALENTA KPO PRIVATE LIMITED,16,VALENTA KPO PRIVATE LIMITED,7,7,15893,name,15893,7,0,0,7,0,YES,0
SGATE Tech Solutions Private Limited,89,SGATE TECH SOLUTIONS PRIVATE LIMITED,8,8,15682.06,name,15192,8,0,0,8,0,YES,0
PINNACLEWORKS INFOTECH PRIVATE LIMITED,27,PINNACLEWORKS INFOTECH PRIVATE LIMITED,8,8,15397,name,15397,8,0,0,8,0,YES,0
Wick Automation LLP,93,WICK AUTOMATION LLP,9,9,14242.58,name,14191,9,0,0,9,0,YES,0
Bench Kart Services Pvt Ltd,129,Benchkart Services Private Limited,10,10,14031,name,14031,10,0,0,10,0,YES,0
COSMO BRANDS PRIVATE LIMITED,118,COSMO BRANDS PRIVATE LIMITED,11,11,14026,name,14026,11,0,0,11,0,YES,0
Aim Plus Staffing Solutions,130,Aim Plus Staffing Solutions,7,8,13679,name,13679,8,0,0,7,1,NO,1
scaleglobal,280,scaleglobal,1,6,13625.81,name,13200,6,0,0,5,1,NO,5
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,11,11,13189,name,13189,10,1,1,10,0,YES,0
WSB Projects Pvt. Ltd,70,WSB PROJECTS PRIVATE LIMITED,8,8,13112.9,name,12000,8,0,0,8,0,YES,0
AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,255,Amar Amba Finance Hire Purchase Private Limited,9,10,12692,name,12692,10,0,0,10,0,NO,1
TRUE BUSINESS MINDS PRIVATE LIMITED,204,TRUE BUSINESS MINDS PRIVATE LIMITED,14,14,12600,name,12600,14,0,0,14,0,YES,0
Dawnsun Exim Corporation,126,DAWNSUN EXIM CORPORATION,9,6,12489,name,12489,6,0,3,6,0,NO,-3
TENSOR LOGISTICS PRIVATE LIMITED,85,TENSOR LOGISTICS PRIVATE LIMITED,8,8,12093,name,12093,8,0,0,8,0,YES,0
V6 SKIN CLINIC PRIVATE LIMITED,2,V6 SKIN CLINIC PRIVATE LIMITED,5,5,11895,name,11895,5,0,0,5,0,YES,0
Parts Avatar India Pvt. Ltd.,72,PARTS AVATAR INDIA PRIVATE LIMITED,43,2,11879.03,name,4250,2,0,41,2,0,NO,-41
Prisha Insurance Brokers Pvt Ltd,54,Prisha Insurance Brokers Pvt Ltd,6,6,11731.48,name,10196,6,0,0,6,0,YES,0
Saajha,14,Saajha,6,6,11658,name,11658,6,0,0,6,0,YES,0
Maxlence Digital (OPC) Private Limited,211,Maxlence Digital (OPC) Private Limited,2,2,11343.55,name,10150,2,0,0,2,0,YES,0
Viralcurry Digital Private Limited,17,VIRALCURRY DIGITAL PRIVATE LIMITED,8,8,11206.45,name,11120,8,0,0,8,0,YES,0
