customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet
JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,241,JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,3,3,3300
MANNA BIOTECH PRIVATE LIMITED,38,MANNA BIOTECH PRIVATE LIMITED,2,2,3217
INFISWIFT TECHNOLOGIES PRIVATE LIMITED,197,INFISWIFT TECHNOLOGIES PRIVATE LIMITED,1,1,3099
B2C (Pranshu Sharma),224,B2C (Pranshu Sharma),1,1,2966
Xsky,200,XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,2,1,2899
IN KNOW TECH PRIVATE LIMITED,960,IN KNOW TECH PRIVATE LIMITED,1,1,2500
Enhanced WAPP Systems (I) Pvt Ltd.,142,ENHANCED WAPP SYSTEMS INDIA PRIVATE LIMITED (HR),1,1,2499
Talent Skillsvarsity Private Limited,247,Talent Skillsvarsity Private Limited,2,2,2034
AGILE VENTURES PRIVATE LIMITED,110,AGILE VENTURES PRIVATE LIMITED,1,1,1999
Dipanshu Mutreja & Associates,147,Dipanshu Mutreja,1,1,1999
MAX LT TECHNOLOGIES LLP,921,Max LT Technologies,1,1,1999
DASH AST TECHNOLOGY LLP,140,DASH AST TECHNOLOGY LLP,2,2,1998
Accelerate Media Private Limited,144,Accelerate Media Private Limited,1,1,1799
United precision Cast,273,United precision Cast,1,1,1700
BROWN ALLIGATOR,132,BROWN ALLIGATOR,1,1,1699
CIPHERBEAT LLP,259,CIPHERBEAT LLP,1,1,1699
AA Consultants,124,AA Consultant,1,1,1600
SPRINGWEL MATTRESSES PRIVATE LIMITED,,NOT_FOUND_IN_CRM,0,1,1499
DELPHI INFOTECH PRIVATE LIMITED,78,DELPHI INFOTECH PRIVATE LIMITED,1,1,1399
ZENITHIA GARDEN OF JOY PRIVATE LIMITED,243,ZENITHIA GARDEN OF JOY PRIVATE LIMITED,1,1,1399
KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,51,KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,1,1,1249
Transcending Horizons Private Limited,213,Transcending Horizons Private Limited,1,1,999
OLA,160,OLA,4,4,4
INNOVA ESI PRIVATE LIMITED,74,INNOVA ESI PRIVATE LIMITED,0,1,1
