TTSPL,Serial,Return Customer,Return Type,Delivery Date,Return Date,Outbound DC,Return DC,Delivery Customer,Same Customer,Current Status
TTSPL6868,5CG202870G,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-27,2026-08-18,DC/26-27/1220,RDC001960,"COSMOFEED TECHNOLOGIES PVT LTD",No,rented
TTSPL4478,2ND9573,"FROSTPRIME LOGISTICS LLP",Replacement Return,2026-08-25,2026-08-18,DC/26-27/1214,RDC002045,"BMRV Engineering Consultants LLP",No,rented
TTSPL3634,HLMZ4Q2,"Digital Eco Innovision Private Limited",Normal Return,2026-08-21,2026-08-17,DC/26-27/1152,RDC002052,"HYREKART INFRA INDIA PRIVATE LIMITED",No,rented
TTSPL6511,4BPXVM3,"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-14,DC/26-27/1215,RDC002043,"ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED",No,rented
TTSPL4627,BQFD2F3,"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-25,2026-08-14,DC/26-27/1193,RDC002042,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL7571,2TK4420SFX,"NUTRITIONALAB PRIVATE LIMITED",Normal Return,2026-08-19,2026-08-14,DC/26-27/1144,RDC002044,"PIBIT TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL1935,71TT5Q2,"BIZDATEUP TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-20,2026-08-14,DC/26-27/1171,RDC001945,"HYREKART INFRA INDIA PRIVATE LIMITED",No,rented
TTSPL2925,GVDL5Q2,"BIZDATEUP TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-21,2026-08-14,DC/26-27/1152,RDC001947,"HYREKART INFRA INDIA PRIVATE LIMITED",No,rented
TTSPL4536,HPX86J3,"ANTINO LABS PRIVATE LIMITED",Normal Return,2026-08-19,2026-08-14,DC/26-27/1160,RDC001941,"SPNN BUSINESS SERVICES PRIVATE LIMITED",No,rented
TTSPL5208,PC0VNSU5,"Beom Commerce Private Limited",Normal Return,2026-08-26,2026-08-14,DC/26-27/1213,RDC002040,"ARAGON METAL TRADERS",No,rented
TTSPL7431,9G516D3,"Prisha Insurance Brokers Pvt Ltd",Replacement Return,2026-08-21,2026-08-14,DC/26-27/1174,RDC002006,"BIODEAL PHARMACEUTICALS LIMITED",No,rented
TTSPL3750,20GTYW2,"Truetech Services Pvt. Ltd.",Normal Return,2026-08-06,2026-08-13,DC/26-27/1076,RDC002016,"Truetech Services Pvt. Ltd.",Yes,returned
TTSPL6363,HKR82J3,"AWL India Private Limited",Normal Return,2026-08-25,2026-08-13,DC/26-27/1212,RDC002005,"COSMOFEED TECHNOLOGIES PVT LTD",No,rented
TTSPL7436,76MF6G3,"SLEEP MANAGEMENT PRIVATE LIMITED",Normal Return,2026-08-18,2026-08-13,DC/26-27/1149,RDC002023,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",No,rented
